0
product code,business group,region,year,month,actual,prediction
001,Channel - Industrial,Asia Pacific & ANZ,2021.0,8.0,49513.641625000004,48016.652350000004
001,Channel - Industrial,Asia Pacific & ANZ,2021.0,9.0,52860.27735,49672.776375
001,Channel - Industrial,Asia Pacific & ANZ,2021.0,10.0,43924.5957,49471.455075000005
001,Channel - Industrial,Asia Pacific & ANZ,2021.0,11.0,41241.140625,48066.352525
001,Channel - Industrial,Asia Pacific & ANZ,2021.0,12.0,44153.1787,51373.373025
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,1.0,33107.42285,49800.044925
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,2.0,39309.023425,49562.101575
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,2.0,34693.07715,49070.959975
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,3.0,43053.9834,48250.3125
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,4.0,26810.923799999997,48499.28615
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,5.0,27254.555675000003,49488.7959
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,6.0,25138.792975,49158.5
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,7.0,32829.47655,50015.47655
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,8.0,33888.6377,48508.747050000005
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,9.0,38285.2998,48080.766599999995
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,10.0,30380.802749999995,48661.985325
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,11.0,27795.50585,51516.347675
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,12.0,30706.622075,50599.259775
001,Channel - Industrial,Asia Pacific & ANZ,2022.0,12.0,34481.656225,49667.19335
001,Industrial,Asia Pacific & ANZ,2021.0,8.0,49645.20605,50481.215800000005
001,Industrial,Asia Pacific & ANZ,2021.0,9.0,48470.75,49927.91405
001,Industrial,Asia Pacific & ANZ,2021.0,10.0,61414.56250000001,51293.21875
001,Industrial,Asia Pacific & ANZ,2021.0,11.0,26133.193325,50808.63280000001
001,Industrial,Asia Pacific & ANZ,2021.0,12.0,71788.694325,52035.035175
001,Industrial,Asia Pacific & ANZ,2022.0,1.0,22912.89455,50299.095725
001,Industrial,Asia Pacific & ANZ,2022.0,2.0,19826.39795,51811.4844
001,Industrial,Asia Pacific & ANZ,2022.0,2.0,51069.23145,48666.247075
001,Industrial,Asia Pacific & ANZ,2022.0,3.0,24492.982549999997,51187.753899999996
001,Industrial,Asia Pacific & ANZ,2022.0,4.0,18647.625500000002,50181.306625
001,Industrial,Asia Pacific & ANZ,2022.0,5.0,39224.3667,50412.892575
001,Industrial,Asia Pacific & ANZ,2022.0,6.0,85980.1953,51913.841799999995
001,Industrial,Asia Pacific & ANZ,2022.0,7.0,28059.933100000002,51259.903325
001,Industrial,Asia Pacific & ANZ,2022.0,8.0,11884.030275000001,50570.589850000004
001,Industrial,Asia Pacific & ANZ,2022.0,9.0,20573.320074999996,51376.457024999996
001,Industrial,Asia Pacific & ANZ,2022.0,10.0,10171.8076,50732.644550000005
001,Industrial,Asia Pacific & ANZ,2022.0,11.0,11640.8228,52076.2041
001,Industrial,Asia Pacific & ANZ,2022.0,12.0,19789.332775000003,50744.259775
001,Industrial,Asia Pacific & ANZ,2022.0,12.0,16393.447025,51258.95510000001
002,Channel - Industrial,Americas,2021.0,8.0,40960.009775,41415.297849999995
002,Channel - Industrial,Americas,2021.0,9.0,36881.598625,42061.89355
002,Channel - Industrial,Americas,2021.0,10.0,36656.507825,41334.5
002,Channel - Industrial,Americas,2021.0,11.0,42139.836924999996,41612.09375
002,Channel - Industrial,Americas,2021.0,12.0,45830.357424999995,41565.915025
002,Channel - Industrial,Americas,2022.0,1.0,38383.5752,41825.732424999995
002,Channel - Industrial,Americas,2022.0,2.0,33094.600575,41930.29395
002,Channel - Industrial,Americas,2022.0,2.0,42252.472624999995,41312.94045
002,Channel - Industrial,Americas,2022.0,3.0,49301.490225,41225.71875
002,Channel - Industrial,Americas,2022.0,4.0,41145.87015,41553.1455
002,Channel - Industrial,Americas,2022.0,5.0,36129.086925,41672.269499999995
002,Channel - Industrial,Americas,2022.0,6.0,39718.352549999996,41174.652325
002,Channel - Industrial,Americas,2022.0,7.0,32697.585925,41346.83885
002,Channel - Industrial,Americas,2022.0,8.0,35632.11035,41441.592775
002,Channel - Industrial,Americas,2022.0,9.0,38277.70705,41531.049775
002,Channel - Industrial,Americas,2022.0,10.0,39084.7998,41241.30957500001
002,Channel - Industrial,Americas,2022.0,11.0,39525.341775,41505.31935
002,Channel - Industrial,Americas,2022.0,12.0,38310.751975,41565.506825
002,Channel - Industrial,Americas,2022.0,12.0,42258.3848,41714.661125
002,Industrial,Americas,2021.0,8.0,35929.4165,40274.065425
002,Industrial,Americas,2021.0,9.0,39108.589850000004,40795.285149999996
002,Industrial,Americas,2021.0,10.0,40263.349625,39757.309575
002,Industrial,Americas,2021.0,11.0,34854.890625,40515.249025
002,Industrial,Americas,2021.0,12.0,48609.530275000005,40222.62695
002,Industrial,Americas,2022.0,1.0,25893.1748,40892.62207500001
002,Industrial,Americas,2022.0,2.0,28542.144525,40391.6377
002,Industrial,Americas,2022.0,2.0,24603.669925000002,40119.7617
002,Industrial,Americas,2022.0,3.0,37582.447275,40293.1406
002,Industrial,Americas,2022.0,4.0,33868.3706,40173.628899999996
002,Industrial,Americas,2022.0,5.0,41954.961924999996,41026.2578
002,Industrial,Americas,2022.0,6.0,37118.0459,40875.905275
002,Industrial,Americas,2022.0,7.0,21251.711900000002,40348.99415
002,Industrial,Americas,2022.0,8.0,47598.472675,40724.05665
002,Industrial,Americas,2022.0,9.0,27487.617675,40668.401375
002,Industrial,Americas,2022.0,10.0,34403.09082500001,40747.82225
002,Industrial,Americas,2022.0,11.0,30711.120125,40436.63575
002,Industrial,Americas,2022.0,12.0,40881.944325000004,39887.416025
002,Industrial,Americas,2022.0,12.0,32863.0801,40679.429675
002,Channel - Industrial,Asia Pacific & ANZ,2021.0,8.0,17376.802725,11906.297625
002,Channel - Industrial,Asia Pacific & ANZ,2021.0,9.0,20410.615225,12177.375974999999
002,Channel - Industrial,Asia Pacific & ANZ,2021.0,10.0,17848.552724999998,11830.63575
002,Channel - Industrial,Asia Pacific & ANZ,2021.0,11.0,18985.0371,11818.38235
002,Channel - Industrial,Asia Pacific & ANZ,2021.0,12.0,20862.719725,12226.525875000001
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,1.0,11373.529774999999,11930.354
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,2.0,10638.959975,11958.67015
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,2.0,8692.905025,12059.76025
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,3.0,14896.8096,12074.9248
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,4.0,7267.0422,12148.147449999999
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,5.0,19704.752425,12062.95045
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,6.0,8798.0022,11932.3401
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,7.0,5518.854975,12085.4216
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,8.0,8985.697400000001,12007.670425
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,9.0,9538.40015,11821.42115
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,10.0,8103.577649999999,11936.24805
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,11.0,9156.17505,12249.525625
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,12.0,10250.367425,12263.416
002,Channel - Industrial,Asia Pacific & ANZ,2022.0,12.0,9846.447725,12223.194075
002,Industrial,Asia Pacific & ANZ,2021.0,8.0,35817.540049999996,34110.102525
